"Domestic transport by ferry by unit, ferry route and time"

" ";" ";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Passengers, 1000"
" ";"FERRY ROUTES TOTAL";9521;9778;10198;10852;11041;10286;11183;11119;10920;10931

"The number of bicycles on some routes are very uncertain and use of "
"these figures on individual routes should be done with great care. "
"Statistics Denmark is working on improving the quality of the "
"statistics. For som lines lorries include trailers and semi-trailers. "
"Prior to 1996 bycycles are only made up for the summer season (April "
"- September) The category, Caravans is uncertain since other types of "
"trailers can be included. "

